Date,Doy,Station,Standard,ZipCodes,Scope,Tavg,Tavg_Qc,Tmax,Tmax_Qc,Tmin,Tmin_Qc,Tdew,Tdew_Qc,ETo,ETo_Qc,Pr,Pr_Qc,RHavg,RHavg_Qc,RHmax,RHmax_Qc,RHmin,RHmin_Qc,DaySoilTmpAvg.Value,DaySoilTmpAvg.Qc,Rs,Rs_Qc,Ea,Ea_Qc,DayWindRun.Value,DayWindRun.Qc,u2,u2_Qc,Elev,Lat,Long
2016-07-01,183,247,metric,"95219, 94511, 94571, 94561, 94513",daily,24.8,H,28.9, ,18.0, ,,M,,H,,M,,M,74.0,H,47.0,H,24.4,H,,R,,M,,M,,M,-12,38.033386,-121.701247
2016-07-02,184,247,metric,"95219, 94511, 94571, 94561, 94513",daily,20.0, ,26.6, ,14.8, ,,M,7.03, ,,M,,M,89.0, ,51.0, ,23.4, ,358.0, ,,M,,M,,M,-12,38.033386,-121.701247
2016-07-03,185,247,metric,"95219, 94511, 94571, 94561, 94513",daily,19.5, ,27.5, ,13.8, ,,M,7.37, ,,M,,M,94.0, ,38.0, ,22.7, ,360.0, ,,M,,M,,M,-12,38.033386,-121.701247
2016-07-04,186,247,metric,"95219, 94511, 94571, 94561, 94513",daily,19.1, ,26.0, ,14.2, ,,M,7.05, ,,M,,M,92.0, ,52.0, ,22.2, ,358.0, ,,M,,M,,M,-12,38.033386,-121.701247
2016-07-05,187,247,metric,"95219, 94511, 94571, 94561, 94513",daily,18.7, ,25.9, ,14.3, ,,M,6.86, ,,M,,M,91.0, ,48.0, ,22.0, ,,R,,M,,M,,M,-12,38.033386,-121.701247
2016-07-06,188,247,metric,"95219, 94511, 94571, 94561, 94513",daily,19.9, ,27.3, ,13.7, ,,M,6.83, ,,M,,M,88.0, ,43.0, ,22.2, ,351.0, ,,M,,M,,M,-12,38.033386,-121.701247
2016-07-07,189,247,metric,"95219, 94511, 94571, 94561, 94513",daily,19.3, ,25.9, ,12.8, ,,M,6.68, ,,M,,M,87.0, ,48.0, ,22.2, ,351.0, ,,M,,M,,M,-12,38.033386,-121.701247
2016-07-08,190,247,metric,"95219, 94511, 94571, 94561, 94513",daily,20.6, ,28.2, ,11.2, ,,M,7.11, ,,M,,M,94.0, ,45.0, ,22.2, ,348.0, ,,M,,M,,M,-12,38.033386,-121.701247
2016-07-09,191,247,metric,"95219, 94511, 94571, 94561, 94513",daily,21.0, ,26.4, ,13.3, ,,M,7.13, ,,M,,M,82.0, ,49.0, ,22.7, ,347.0, ,,M,,M,,M,-12,38.033386,-121.701247
2016-07-10,192,247,metric,"95219, 94511, 94571, 94561, 94513",daily,20.7, ,27.5, ,13.0, ,,M,7.15, ,,M,,M,75.0, ,41.0, ,22.3, ,,R,,M,,M,,M,-12,38.033386,-121.701247
2016-07-11,193,247,metric,"95219, 94511, 94571, 94561, 94513",daily,23.0, ,29.9, ,16.9, ,,Y,7.52, ,0.0, ,63.0,Y,76.0, ,33.0, ,22.9, ,,R,1.8,Y,450.4, ,5.2, ,-12,38.033386,-121.701247
2016-07-12,194,247,metric,"95219, 94511, 94571, 94561, 94513",daily,22.1, ,28.6, ,12.0, ,13.2, ,7.29, ,0.0, ,57.0, ,81.0, ,43.0, ,22.8, ,,R,1.5, ,317.8, ,3.7, ,-12,38.033386,-121.701247
2016-07-13,195,247,metric,"95219, 94511, 94571, 94561, 94513",daily,25.0, ,34.0, ,17.5, ,14.7, ,7.45, ,0.0, ,53.0, ,73.0, ,32.0, ,23.5, ,,R,1.7, ,286.6, ,3.3, ,-12,38.033386,-121.701247
2016-07-14,196,247,metric,"95219, 94511, 94571, 94561, 94513",daily,25.0, ,33.8, ,17.5, ,14.2, ,7.58, ,0.0, ,51.0, ,78.0, ,27.0, ,24.1, ,,R,1.6, ,283.7, ,3.3, ,-12,38.033386,-121.701247
2016-07-15,197,247,metric,"95219, 94511, 94571, 94561, 94513",daily,21.3, ,29.4, ,15.1, ,15.0, ,7.1, ,0.0, ,67.0, ,93.0, ,45.0, ,23.6, ,,R,1.7, ,453.7, ,5.3, ,-12,38.033386,-121.701247
2016-07-16,198,247,metric,"95219, 94511, 94571, 94561, 94513",daily,20.1, ,27.0, ,15.0, ,14.7, ,6.9, ,0.0, ,71.0, ,91.0, ,51.0, ,22.9, ,,R,1.7, ,523.6, ,6.1, ,-12,38.033386,-121.701247
2016-07-17,199,247,metric,"95219, 94511, 94571, 94561, 94513",daily,20.2, ,27.6, ,14.4, ,13.7, ,6.8, ,0.0, ,66.0, ,90.0, ,45.0, ,22.7, ,,R,1.6, ,342.3, ,4.0, ,-12,38.033386,-121.701247
2016-07-18,200,247,metric,"95219, 94511, 94571, 94561, 94513",daily,19.1, ,24.8, ,12.0, ,13.7, ,6.4, ,0.0, ,71.0, ,89.0, ,58.0, ,22.3, ,348.0, ,1.6, ,319.2, ,3.7, ,-12,38.033386,-121.701247
2016-07-19,201,247,metric,"95219, 94511, 94571, 94561, 94513",daily,20.0, ,26.8, ,14.6, ,13.2, ,6.84, ,0.0, ,65.0, ,84.0, ,43.0, ,22.1, ,350.0, ,1.5, ,363.9, ,4.2, ,-12,38.033386,-121.701247
2016-07-20,202,247,metric,"95219, 94511, 94571, 94561, 94513",daily,21.4, ,29.2, ,12.8, ,12.2, ,7.14, ,0.0, ,56.0, ,76.0, ,36.0, ,22.1, ,,R,1.4, ,315.3, ,3.6, ,-12,38.033386,-121.701247
2016-07-21,203,247,metric,"95219, 94511, 94571, 94561, 94513",daily,20.5, ,28.0, ,14.6, ,13.0, ,7.18, ,0.0, ,62.0, ,83.0, ,40.0, ,21.9, ,,R,1.5, ,402.1, ,4.7, ,-12,38.033386,-121.701247
2016-07-22,204,247,metric,"95219, 94511, 94571, 94561, 94513",daily,23.2, ,31.3, ,13.0, ,12.7, ,7.46, ,0.0, ,52.0, ,83.0, ,28.0, ,22.1, ,,R,1.5, ,322.5, ,3.7, ,-12,38.033386,-121.701247
2016-07-23,205,247,metric,"95219, 94511, 94571, 94561, 94513",daily,25.7, ,33.7, ,19.3, ,14.4, ,7.78, ,0.0, ,50.0, ,65.0, ,34.0, ,23.0, ,,R,1.6, ,329.3, ,3.8, ,-12,38.033386,-121.701247
2016-07-24,206,247,metric,"95219, 94511, 94571, 94561, 94513",daily,24.9, ,34.4, ,17.4, ,15.3, ,7.26, ,0.0, ,56.0, ,81.0, ,37.0, ,23.6, ,346.0, ,1.7, ,297.6, ,3.4, ,-12,38.033386,-121.701247
2016-07-25,207,247,metric,"95219, 94511, 94571, 94561, 94513",daily,22.8, ,31.1, ,15.1, ,14.9, ,7.04, ,0.0, ,61.0, ,91.0, ,39.0, ,23.3, ,,R,1.7, ,372.5, ,4.3, ,-12,38.033386,-121.701247
2016-07-26,208,247,metric,"95219, 94511, 94571, 94561, 94513",daily,30.1,Y,,Y,,Y,,Y,,H,0.0, ,42.0,Y,83.0, ,27.0, ,25.1,Y,,H,1.8,Y,254.9, ,3.0, ,-12,38.033386,-121.701247
2016-07-27,209,247,metric,"95219, 94511, 94571, 94561, 94513",daily,26.0, ,33.8, ,18.8, ,15.3, ,7.76, ,0.0, ,52.0, ,79.0, ,34.0, ,24.1, ,328.0, ,1.7, ,344.2, ,4.0, ,-12,38.033386,-121.701247
2016-07-28,210,247,metric,"95219, 94511, 94571, 94561, 94513",daily,23.7, ,31.6, ,16.5, ,,Y,7.28, ,0.0, ,61.0,Y,89.0, ,39.0, ,23.7, ,329.0, ,1.8,Y,417.7, ,4.8, ,-12,38.033386,-121.701247
2016-07-29,211,247,metric,"95219, 94511, 94571, 94561, 94513",daily,23.7, ,32.0, ,16.9, ,,Y,7.17, ,0.0, ,62.0,Y,87.0, ,39.0, ,23.6, ,333.0, ,1.8,Y,390.8, ,4.5, ,-12,38.033386,-121.701247
2016-07-30,212,247,metric,"95219, 94511, 94571, 94561, 94513",daily,21.6, ,29.6, ,16.0, ,14.8, ,7.2, ,0.0, ,65.0, ,89.0, ,36.0, ,23.1, ,,R,1.7, ,491.9, ,5.7, ,-12,38.033386,-121.701247
2016-07-31,213,247,metric,"95219, 94511, 94571, 94561, 94513",daily,19.6, ,26.3, ,14.6, ,14.9, ,6.39, ,0.0, ,74.0, ,92.0, ,52.0, ,22.3, ,338.0, ,1.7, ,504.2, ,5.8, ,-12,38.033386,-121.701247
2016-08-01,214,247,metric,"95219, 94511, 94571, 94561, 94513",daily,20.1, ,27.1, ,15.0, ,13.9, ,6.72, ,0.0, ,68.0, ,91.0, ,42.0, ,21.9, ,,R,1.6, ,483.0, ,5.6, ,-12,38.033386,-121.701247
2016-08-02,215,247,metric,"95219, 94511, 94571, 94561, 94513",daily,20.7, ,28.0, ,14.8, ,15.0, ,6.47, ,0.0, ,70.0, ,90.0, ,50.0, ,21.8, ,,R,1.7, ,438.4, ,5.1, ,-12,38.033386,-121.701247
2016-08-03,216,247,metric,"95219, 94511, 94571, 94561, 94513",daily,21.3, ,29.3, ,15.5, ,14.8, ,6.62, ,0.0, ,66.0, ,89.0, ,48.0, ,22.1, ,335.0, ,1.7, ,380.8, ,4.4, ,-12,38.033386,-121.701247
2016-08-04,217,247,metric,"95219, 94511, 94571, 94561, 94513",daily,18.1, ,24.3, ,14.2, ,13.5, ,6.19, ,0.0, ,75.0, ,89.0, ,60.0, ,21.5, ,,R,1.6, ,479.4, ,5.5, ,-12,38.033386,-121.701247
2016-08-05,218,247,metric,"95219, 94511, 94571, 94561, 94513",daily,18.8, ,24.6, ,14.6, ,14.1, ,6.02, ,0.0, ,74.0, ,90.0, ,56.0, ,21.1, ,,R,1.6, ,436.8, ,5.1, ,-12,38.033386,-121.701247
2016-08-06,219,247,metric,"95219, 94511, 94571, 94561, 94513",daily,19.3, ,26.4, ,14.0, ,13.9, ,6.09, ,0.0, ,71.0, ,93.0, ,45.0, ,21.2, ,,R,1.6, ,348.2, ,4.0, ,-12,38.033386,-121.701247
2016-08-07,220,247,metric,"95219, 94511, 94571, 94561, 94513",daily,20.4, ,28.4, ,11.9, ,13.7, ,6.21, ,0.0, ,65.0, ,91.0, ,47.0, ,21.3, ,,R,1.6, ,254.7, ,2.9, ,-12,38.033386,-121.701247
2016-08-08,221,247,metric,"95219, 94511, 94571, 94561, 94513",daily,21.5, ,29.3, ,15.1, ,14.1, ,6.43, ,0.0, ,63.0, ,87.0, ,45.0, ,21.5, ,,R,1.6, ,299.1, ,3.5, ,-12,38.033386,-121.701247
2016-08-09,222,247,metric,"95219, 94511, 94571, 94561, 94513",daily,21.3, ,29.3, ,11.6, ,14.6, ,6.24, ,0.0, ,66.0, ,95.0, ,46.0, ,21.5, ,,R,1.7, ,276.0, ,3.2, ,-12,38.033386,-121.701247
2016-08-10,223,247,metric,"95219, 94511, 94571, 94561, 94513",daily,21.0, ,28.2, ,15.1, ,,Y,6.27, ,0.0, ,69.0,Y,91.0, ,50.0, ,21.6, ,325.0, ,1.7,Y,395.8, ,4.6, ,-12,38.033386,-121.701247
2016-08-11,224,247,metric,"95219, 94511, 94571, 94561, 94513",daily,20.5, ,28.5, ,14.5, ,,Y,6.27, ,0.0, ,71.0,Y,94.0, ,43.0, ,21.4, ,320.0, ,1.7,Y,446.4, ,5.2, ,-12,38.033386,-121.701247
2016-08-12,225,247,metric,"95219, 94511, 94571, 94561, 94513",daily,22.0, ,29.7, ,15.6, ,,Y,6.5, ,0.0, ,66.0,Y,91.0, ,43.0, ,21.5, ,320.0, ,1.7,Y,399.2, ,4.6, ,-12,38.033386,-121.701247
2016-08-13,226,247,metric,"95219, 94511, 94571, 94561, 94513",daily,23.2, ,31.7, ,15.8, ,14.7, ,6.82, ,0.0, ,59.0, ,88.0, ,31.0, ,21.7, ,321.0, ,1.7, ,353.2, ,4.1, ,-12,38.033386,-121.701247
2016-08-14,227,247,metric,"95219, 94511, 94571, 94561, 94513",daily,22.3, ,31.1, ,16.2, ,14.9, ,6.58, ,0.0, ,63.0, ,89.0, ,37.0, ,21.8, ,315.0, ,1.7, ,393.8, ,4.6, ,-12,38.033386,-121.701247
2016-08-15,228,247,metric,"95219, 94511, 94571, 94561, 94513",daily,19.7, ,27.6, ,13.9, ,14.8, ,5.96, ,0.0, ,73.0, ,95.0, ,50.0, ,21.3, ,317.0, ,1.7, ,481.5, ,5.6, ,-12,38.033386,-121.701247
2016-08-16,229,247,metric,"95219, 94511, 94571, 94561, 94513",daily,20.6, ,28.3, ,14.4, ,14.9, ,6.2, ,0.0, ,70.0, ,95.0, ,45.0, ,21.1, ,314.0, ,1.7, ,437.3, ,5.1, ,-12,38.033386,-121.701247
2016-08-17,230,247,metric,"95219, 94511, 94571, 94561, 94513",daily,21.4, ,29.2, ,15.1, ,15.1, ,6.09, ,0.0, ,67.0, ,92.0, ,39.0, ,21.3, ,302.0, ,1.7, ,398.6, ,4.6, ,-12,38.033386,-121.701247
2016-08-18,231,247,metric,"95219, 94511, 94571, 94561, 94513",daily,21.1, ,27.9, ,15.7, ,15.1, ,6.0, ,0.0, ,68.0, ,92.0, ,47.0, ,21.3, ,288.0, ,1.7, ,434.5, ,5.0, ,-12,38.033386,-121.701247
2016-08-19,232,247,metric,"95219, 94511, 94571, 94561, 94513",daily,20.6, ,27.0, ,15.9, ,14.6, ,6.13, ,0.0, ,68.0, ,87.0, ,49.0, ,21.1, ,290.0, ,1.7, ,473.6, ,5.5, ,-12,38.033386,-121.701247
2016-08-20,233,247,metric,"95219, 94511, 94571, 94561, 94513",daily,19.9, ,26.4, ,15.7, ,14.7, ,5.87, ,0.0, ,72.0, ,90.0, ,54.0, ,21.0, ,289.0, ,1.7, ,467.9, ,5.4, ,-12,38.033386,-121.701247
2016-08-21,234,247,metric,"95219, 94511, 94571, 94561, 94513",daily,19.6, ,26.0, ,15.3, ,14.1, ,5.86, ,0.0, ,71.0, ,87.0, ,54.0, ,20.7, ,287.0, ,1.6, ,455.3, ,5.3, ,-12,38.033386,-121.701247
2016-08-22,235,247,metric,"95219, 94511, 94571, 94561, 94513",daily,19.4, ,25.8, ,15.0, ,14.3, ,4.81, ,0.0, ,72.0, ,87.0, ,54.0, ,20.6, ,231.0, ,1.6, ,444.4, ,5.1, ,-12,38.033386,-121.701247
2016-08-23,236,247,metric,"95219, 94511, 94571, 94561, 94513",daily,19.3, ,25.6, ,15.0, ,14.2, ,5.72, ,0.0, ,72.0, ,90.0, ,56.0, ,20.5, ,294.0, ,1.6, ,473.0, ,5.5, ,-12,38.033386,-121.701247
